instruction,source,target
Terjemahkan ke bahasa Indonesia baku.,Sa fly..,Aku terbang.. (fly)
Terjemahkan ke bahasa Indonesia baku.,Sa ikut ko,Saya ikut kamu
Terjemahkan ke bahasa Indonesia baku.,Sa tra tau,Saya tidak tahu
Terjemahkan ke bahasa Indonesia baku.,Sa su siap,Saya sudah siap
Terjemahkan ke bahasa Indonesia baku.,Eje go wea,Ayo pergi kemana
Terjemahkan ke bahasa Indonesia baku.,Bukan baby,Bukan sayang lagi
Terjemahkan ke bahasa Indonesia baku.,Bela / Bla,"1. Belah, 2. Pukul"
Terjemahkan ke bahasa Indonesia baku.,Sa su coba,Saya sudah mencoba
Terjemahkan ke bahasa Indonesia baku.,"Ey, ey, ey",(Ekspresi / interjeksi)
Terjemahkan ke bahasa Indonesia baku.,Sa di rumah,Saya di rumah
Terjemahkan ke bahasa Indonesia baku.,Oh tra bisa,Aku tidak bisa
Terjemahkan ke bahasa Indonesia baku.,Sa tra bisa,Saya tidak bisa
Terjemahkan ke bahasa Indonesia baku.,Sa mau ikut,Saya ingin ikut
Terjemahkan ke bahasa Indonesia baku.,Kan sa jaga,Aku akan menjaga
Terjemahkan ke bahasa Indonesia baku.,Teang gelap,Sinar dalam gelap
Terjemahkan ke bahasa Indonesia baku.,Ko pi mana?,Kamu mau ke mana?
Terjemahkan ke bahasa Indonesia baku.,Sa bantu ko,Saya membantu kamu
Terjemahkan ke bahasa Indonesia baku.,Sa mo janji,Saya ingin berjanji
Terjemahkan ke bahasa Indonesia baku.,Sa antar ko,Saya mengantar kamu
Terjemahkan ke bahasa Indonesia baku.,Sa ke pasar,Saya pergi ke pasar
Terjemahkan ke bahasa Indonesia baku.,Ko su siap?,Apakah kamu sudah siap?
Terjemahkan ke bahasa Indonesia baku.,Jii bah dar,Lebih baik pergi dari sini
Terjemahkan ke bahasa Indonesia baku.,Ko pu cara e,Cara kamu itu
Terjemahkan ke bahasa Indonesia baku.,Tapi sa diam,Tapi aku diam
Terjemahkan ke bahasa Indonesia baku.,Bisa sa mati,Aku rela mati
Terjemahkan ke bahasa Indonesia baku.,Ko satu kali,Kamu satu kali
Terjemahkan ke bahasa Indonesia baku.,Sa minum teh,Saya minum teh
Terjemahkan ke bahasa Indonesia baku.,Sa mau tidur,Saya ingin tidur
Terjemahkan ke bahasa Indonesia baku.,Sa sayang ko,Saya sayang kamu
Terjemahkan ke bahasa Indonesia baku.,Dia su kawin,Dia sudah menikah
Terjemahkan ke bahasa Indonesia baku.,Canda nyaman,Canda yang nyaman
