instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Baru,Lho
Terjemahkan ke bahasa Indonesia baku.,E / eh,ya?
Terjemahkan ke bahasa Indonesia baku.,Bes,Bis
Terjemahkan ke bahasa Indonesia baku.,mo stelan jurus remot andalan apa bilang,mau gaya jurus remot andalan apa bilang saja
Terjemahkan ke bahasa Indonesia baku.,Memang harus fly biar sa tenang,Memang harus terbang agar aku tenang
Terjemahkan ke bahasa Indonesia baku.,Oh adoh-adoh jang ganggu,"Aduh, jangan ganggu"
Terjemahkan ke bahasa Indonesia baku.,Calling-calling kalo kam su putus,Telepon saja kalau kamu sudah putus
Terjemahkan ke bahasa Indonesia baku.,Tra pernah bikin repot sa gacok ni de tra kepot,"Tak pernah repot, aku tetap kuat walau tidak sempurna"
Terjemahkan ke bahasa Indonesia baku.,Harus ko tau bahwa sa susah,Kamu harus tahu bahwa saya susah.
Terjemahkan ke bahasa Indonesia baku.,Tra salah feeling sa pisah deng ko,"Tidak salah perasaan, aku memang harus pisah dengan kamu"
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa begini terus,Kamu selalu buat saya seperti ini
Terjemahkan ke bahasa Indonesia baku.,Pi jang balikan tra mau balikan lagi,"Pergi jangan kembali, aku tidak mau kembali lagi"
Terjemahkan ke bahasa Indonesia baku.,Goso,Gosok
Terjemahkan ke bahasa Indonesia baku.,Trada air bersih di rumah,Tidak ada air bersih di rumah
Terjemahkan ke bahasa Indonesia baku.,Su tra lagi tong baku sapa,Lambat laun kita tak lagi saling menyapa
Terjemahkan ke bahasa Indonesia baku.,sa ada pada gerimis pasang surut hubungan,aku ada di saat gerimis pasang surut hubungan
Terjemahkan ke bahasa Indonesia baku.,Makanya dengar ni yang sa mo bilang,Maka dengarkan ini yang aku mau bilang
Terjemahkan ke bahasa Indonesia baku.,Tong latihan gitar sore,Kami latihan gitar sore
Terjemahkan ke bahasa Indonesia baku.,Sa bantu ko,Saya membantu kamu
Terjemahkan ke bahasa Indonesia baku.,Trakan pernah jadi amin yang sama,Tidak akan pernah jadi doa yang sama
