instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Itu anak baik skali e,Anak itu sangat baik ya
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan?,Apa yang kamu bilang tadi?
Terjemahkan ke bahasa Indonesia baku.,Ko makan duluan sa ikut belakang,"Kamu makan duluan, saya menyusul"
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka itu e,Saya tidak suka itu ya
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka itu e,Saya tidak suka itu yaa
Terjemahkan ke bahasa Indonesia baku.,Dong main bola di lapangan kah?,Mereka bermain bola di lapangan?
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan? kah?,Apa yang kamu bilang tadi??
Terjemahkan ke bahasa Indonesia baku.,Sa mo coba ulang e,Saya mau coba ulangi ya
Terjemahkan ke bahasa Indonesia baku.,Sa suka deng lagu itu,Saya suka dengan lagu itu
Terjemahkan ke bahasa Indonesia baku.,Dia tra ada di rumah kah?,Dia tidak ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Sa mo mandi dulu e,Saya mau mandi dulu ya
Terjemahkan ke bahasa Indonesia baku.,Kita pigi sekolah sama-sama kah?,Kita pergi ke sekolah bersama-sama?
Terjemahkan ke bahasa Indonesia baku.,Beta mau pigi pasar kah?,Saya mau pergi ke pasar?
Terjemahkan ke bahasa Indonesia baku.,Sa suka deng lagu itu kah?,Saya suka dengan lagu itu?
Terjemahkan ke bahasa Indonesia baku.,Ko makan duluan sa ikut belakang kah?,"Kamu makan duluan, saya menyusul?"
Terjemahkan ke bahasa Indonesia baku.,Dia su makan siang e,Dia sudah makan siang ya
Terjemahkan ke bahasa Indonesia baku.,Kita pigi sekolah sama-sama e,Kita pergi ke sekolah bersama-sama ya
Terjemahkan ke bahasa Indonesia baku.,Sa tinggal di Sorong e,Saya tinggal di Sorong ya
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan? e,Apa yang kamu bilang tadi? ya
Terjemahkan ke bahasa Indonesia baku.,Dong main bola di lapangan e,Mereka bermain bola di lapangan ya
Terjemahkan ke bahasa Indonesia baku.,Ko deng dia ada hubungan? kah?,Kamu dan dia ada hubungan??
Terjemahkan ke bahasa Indonesia baku.,Sa suka deng lagu itu e,Saya suka dengan lagu itu ya
Terjemahkan ke bahasa Indonesia baku.,Dia tra ada di rumah e,Dia tidak ada di rumah ya
Terjemahkan ke bahasa Indonesia baku.,Sa mo tidur dulu e,Saya mau tidur dulu ya
Terjemahkan ke bahasa Indonesia baku.,Ko tra usah kuatir e,Kamu tidak usah khawatir ya
Terjemahkan ke bahasa Indonesia baku.,Bapa tra ada di rumah kah?,Ayah tidak ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Dia tra ada di rumah,Dia tidak ada di rumah
Terjemahkan ke bahasa Indonesia baku.,Dong main bola di lapangan,Mereka bermain bola di lapangan
Terjemahkan ke bahasa Indonesia baku.,Dong su datang kah? e,Apakah mereka sudah datang? ya
Terjemahkan ke bahasa Indonesia baku.,Ko deng dia ada hubungan?,Kamu dan dia ada hubungan?
Terjemahkan ke bahasa Indonesia baku.,Ko deng dia ada hubungan? e,Kamu dan dia ada hubungan? ya
Terjemahkan ke bahasa Indonesia baku.,Sa kasih tahu ko e,Saya beri tahu kamu ya
Terjemahkan ke bahasa Indonesia baku.,Mama tra ada di rumah kah?,Mama tidak ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Ko makan duluan sa ikut belakang e,"Kamu makan duluan, saya menyusul ya"
Terjemahkan ke bahasa Indonesia baku.,Bapa tra ada di rumah,Ayah tidak ada di rumah
Terjemahkan ke bahasa Indonesia baku.,Kita pigi sekolah sama-sama,Kita pergi ke sekolah bersama-sama
Terjemahkan ke bahasa Indonesia baku.,kaka tra ada di rumah,Kakak tidak ada di rumah
Terjemahkan ke bahasa Indonesia baku.,sa tra ada di rumah e,Saya tidak ada di rumah ya
Terjemahkan ke bahasa Indonesia baku.,Jang lanjut chat nanti laba,Jangan lanjut chat nanti rugi
