input,output
Tabe di tra usah main ganas,"Maaf, tidak usah bertindak kasar"
Sa tra deng dong,Saya tidak dengar mereka
Dasar setan alas ko,"Dasar kamu itu jahat, alasanku?"
Sa tra ke Bong,Saya tidak pergi ke sana
Yow dari awal tong berjumpa-jumpa,Sejak awal kita bertemu terus menerus
Gaya sana sini jadi joki-joki,Gayanya di mana-mana seperti pemain cadangan
Dong su pergi,Mereka sudah pergi
"Ey, ey, ey",(Ekspresi / interjeksi)
Tong jalan sore di taman,Kami berjalan sore di taman
Ko diam sedikit,Kamu diam sebentar
Cukup sa saja ko kas luka,Biarkan hanya aku yang luka
Kalau cuma fly lupa ko tu tra mungkin,"Meskipun saya mabuk, saya tidak bisa lupakan kamu"
Sa mau di rumah saja,Saya ingin tinggal di rumah saja
Tapi sekarang ko pigi deng dia,Tapi sekarang kamu pergi dengan dia
Ko ada pake-pake kapa,Ada pesona yang membuat terpikat
Tong pu cinta ini,Cinta kita ini
Dari lama tong geladi,Dari lama kita bersama
"Trippy dont, trippy dont, trippy allday",Jangan mengganggu pikiranku sepanjang hari
Dorang ke pasar beli ikan,Mereka pergi ke pasar membeli ikan
Sa hidangkan pasti enak di telinga,Aku sajikan pasti enak di telinga
Ko dari mana?,Kamu dari mana?
Temani ladeni macam deng laki bini,Melayani seperti pasangan yang mesra
Kalo memang ko su,Jika memang kamu sungguh-sungguh
sa trakan mungkin pindah,aku tidak akan berpaling
Trada listrik di kampus,Tidak ada listrik di kampus
Hey pusing awer,Aku pusing sekali
Gas su jangan lama-lama,Ayo jalan jangan lama-lama
Dorang baca buku novel,Mereka membaca novel
Ada saja yang ko bikin,Selalu ada yang kamu buat (masalah)
Pigi dan trakan bikin sa game,Pergi dan tidak membuatku kuat lagi
ko sombong sampe stelan lupa sa,kamu sombong sampai gayanya lupa aku
Untuk jalan pica bunga,Khususnya jalan yang menipu ke mana pun
Hati tageser ke lambung,Hati ini terasa seperti diaduk dalam dada
Cinta cinta palsu,Cinta-cinta yang palsu
Nyaman ka sa pu sorr,Nyaman sekali dekat dengan saya
