instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Baru,Lho
Terjemahkan ke bahasa Indonesia baku.,E / eh,ya?
Terjemahkan ke bahasa Indonesia baku.,Bes,Bis
Terjemahkan ke bahasa Indonesia baku.,mo stelan jurus remot andalan apa bilang,mau gaya jurus remot andalan apa bilang saja
Terjemahkan ke bahasa Indonesia baku.,Oh adoh-adoh jang ganggu,"Aduh, jangan ganggu"
Terjemahkan ke bahasa Indonesia baku.,"Ko jual saja, pasti dong belanja","Jual saja dia, pasti ada yang menampung"
Terjemahkan ke bahasa Indonesia baku.,Calling-calling kalo kam su putus,Telepon saja kalau kamu sudah putus
Terjemahkan ke bahasa Indonesia baku.,Tra pernah bikin repot sa gacok ni de tra kepot,"Tak pernah repot, aku tetap kuat walau tidak sempurna"
Terjemahkan ke bahasa Indonesia baku.,Harus ko tau bahwa sa susah,Kamu harus tahu bahwa saya susah.
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa begini terus,Kamu selalu buat saya seperti ini
Terjemahkan ke bahasa Indonesia baku.,Tra salah feeling sa pisah deng ko,"Tidak salah perasaan, aku memang harus pisah dengan kamu"
Terjemahkan ke bahasa Indonesia baku.,Pi jang balikan tra mau balikan lagi,"Pergi jangan kembali, aku tidak mau kembali lagi"
Terjemahkan ke bahasa Indonesia baku.,Sa fly deng anana dong,Saya pergi bersenang-senang dengan mereka
Terjemahkan ke bahasa Indonesia baku.,Goso,Gosok
Terjemahkan ke bahasa Indonesia baku.,Trada air bersih di rumah,Tidak ada air bersih di rumah
Terjemahkan ke bahasa Indonesia baku.,Su tra lagi tong baku sapa,Lambat laun kita tak lagi saling menyapa
Terjemahkan ke bahasa Indonesia baku.,sa ada pada gerimis pasang surut hubungan,aku ada di saat gerimis pasang surut hubungan
Terjemahkan ke bahasa Indonesia baku.,Makanya dengar ni yang sa mo bilang,Maka dengarkan ini yang aku mau bilang
Terjemahkan ke bahasa Indonesia baku.,Karna ko deng sa sama-sama bahagia,Karena kamu dan aku sama-sama bahagia
